COMMUNITY_AREA_NUMBER,PERCENT_OF_HOUSING_CROWDED,PERCENT_HOUSEHOLDS_BELOW_POVERTY,PERCENT_AGED_16__UNEMPLOYED,PERCENT_AGED_25__WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED_UNDER_18_OR_OVER_64,PER_CAPITA_INCOME,PRIMARY_TYPE,HARDSHIP_INDEX,INCOME_PER_CAPITA,AVG_SCORE
7,0.8,12.3,5.1,3.6,21.5,71551,THEFT,2,5817.15,332488.0
7,0.8,12.3,5.1,3.6,21.5,71551,BATTERY,2,5817.15,332488.0
7,0.8,12.3,5.1,3.6,21.5,71551,BATTERY,2,5817.15,332488.0
7,0.8,12.3,5.1,3.6,21.5,71551,LIQUOR LAW VIOLATION,2,5817.15,332488.0
7,0.8,12.3,5.1,3.6,21.5,71551,BURGLARY,2,5817.15,332488.0
43,2.8,31.1,20.0,14.0,35.7,19398,THEFT,55,623.73,182494.0
43,2.8,31.1,20.0,14.0,35.7,19398,BATTERY,55,623.73,182494.0
43,2.8,31.1,20.0,14.0,35.7,19398,BATTERY,55,623.73,182494.0
43,2.8,31.1,20.0,14.0,35.7,19398,BATTERY,55,623.73,182494.0
43,2.8,31.1,20.0,14.0,35.7,19398,CRIMINAL DAMAGE,55,623.73,182494.0
43,2.8,31.1,20.0,14.0,35.7,19398,NARCOTICS,55,623.73,182494.0
43,2.8,31.1,20.0,14.0,35.7,19398,ASSAULT,55,623.73,182494.0
43,2.8,31.1,20.0,14.0,35.7,19398,BURGLARY,55,623.73,182494.0
43,2.8,31.1,20.0,14.0,35.7,19398,OFFENSE INVOLVING CHILDREN,55,623.73,182494.0
70,4.0,10.4,11.7,17.7,36.9,23482,BATTERY,37,2257.88,205012.0
70,4.0,10.4,11.7,17.7,36.9,23482,CRIMINAL DAMAGE,37,2257.88,205012.0
70,4.0,10.4,11.7,17.7,36.9,23482,CRIMINAL DAMAGE,37,2257.88,205012.0
70,4.0,10.4,11.7,17.7,36.9,23482,NARCOTICS,37,2257.88,205012.0
70,4.0,10.4,11.7,17.7,36.9,23482,DECEPTIVE PRACTICE,37,2257.88,205012.0
70,4.0,10.4,11.7,17.7,36.9,23482,CRIMINAL TRESPASS,37,2257.88,205012.0
70,4.0,10.4,11.7,17.7,36.9,23482,OFFENSE INVOLVING CHILDREN,37,2257.88,205012.0
70,4.0,10.4,11.7,17.7,36.9,23482,OBSCENITY,37,2257.88,205012.0
61,11.9,29.0,23.0,41.5,38.9,12765,THEFT,91,440.17,188179.0
61,11.9,29.0,23.0,41.5,38.9,12765,BATTERY,91,440.17,188179.0
61,11.9,29.0,23.0,41.5,38.9,12765,BATTERY,91,440.17,188179.0
61,11.9,29.0,23.0,41.5,38.9,12765,BATTERY,91,440.17,188179.0
61,11.9,29.0,23.0,41.5,38.9,12765,CRIMINAL DAMAGE,91,440.17,188179.0
61,11.9,29.0,23.0,41.5,38.9,12765,NARCOTICS,91,440.17,188179.0
61,11.9,29.0,23.0,41.5,38.9,12765,NARCOTICS,91,440.17,188179.0
